,Text,Label,tokenized_text
1017,i continued to feel very submissive and continued to be aroused as well,0,"[1, 1501, 4, 2, 45, 831, 3, 1501, 4, 27, 5543, 28, 134]"
1018,i told im i didnt want him to feel uncomfortable,4,"[1, 347, 16, 1, 138, 66, 73, 4, 2, 497]"
1019,i feel constantly at battle like i need to continuously improve myself but then feel like nothing i do will ever be enough and that makes me feel chronically exhausted,0,"[1, 2, 794, 32, 2140, 13, 1, 104, 4, 4206, 1926, 50, 18, 124, 2, 13, 226, 1, 38, 58, 164, 27, 155, 3, 8, 151, 17, 2, 5544, 398]"
1020,i feel like im a shy enormous pink flamingo man,4,"[1, 2, 13, 16, 6, 616, 5545, 1828, 7965, 373]"
1021,i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place,0,"[1, 2, 13, 28, 85, 28, 12, 19, 76, 730, 476, 8, 1, 327, 24, 10, 879, 1, 19, 11, 6, 304, 222]"
1022,i just want to show them that i can take care of myself and i feel wronged by staying with them,1,"[1, 31, 66, 4, 367, 63, 8, 1, 39, 182, 311, 9, 50, 3, 1, 2, 596, 44, 1232, 24, 63]"
1023,i went ahead and did the shooting afterwards a few of the guys asked me to go out for drinks and i agreed i knew i should have rang you tried to work things out with you but i was angry and feeling stubborn,1,"[1, 268, 1049, 3, 126, 5, 4338, 1461, 6, 191, 9, 5, 677, 524, 17, 4, 100, 49, 15, 3194, 3, 1, 3640, 1, 461, 1, 120, 20, 4339, 30, 699, 4, 123, 88, 49, 24, 30, 18, 1, 19, 263, 3, 7, 825]"
1024,im listening to right now because i feel like i need it and i want to share it with you little ones despite my convinced atheism somehow it never fails to make me feel better,5,"[16, 983, 4, 113, 57, 36, 1, 2, 13, 1, 104, 12, 3, 1, 66, 4, 345, 12, 24, 30, 55, 673, 864, 10, 491, 7966, 450, 12, 144, 7967, 4, 79, 17, 2, 169]"
1025,ive been comfort eating because im still feeling rubbish and i havent bothered to log most of it so theres no point checking on my food log yeah i know some of you do that,1,"[72, 47, 1124, 675, 36, 16, 71, 7, 2768, 3, 1, 417, 453, 4, 2362, 133, 9, 12, 14, 576, 95, 258, 2145, 29, 10, 518, 2362, 1365, 1, 46, 68, 9, 30, 38, 8]"
1026,i feel so honored to be nominated for this award,5,"[1, 2, 14, 582, 4, 27, 4340, 15, 22, 2857]"
1027,im feeling quite joyful today,5,"[16, 7, 156, 624, 121]"
1028,when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results,5,"[33, 1, 1318, 5, 194, 192, 1045, 28, 5, 194, 192, 56, 1213, 6, 158, 9, 123, 3, 1, 19, 45, 641, 33, 1, 140, 5, 1045]"
1029,i feel like ive isolated myself from regular relationships,0,"[1, 2, 13, 72, 547, 50, 59, 1726, 1158]"
1030,i am also not a perfect girl friend and im always a disappointment always feeling so doubtful and always putting you through a hard time with my mood swings and sudden outburst of low emo mood,4,"[1, 23, 116, 25, 6, 355, 320, 250, 3, 16, 111, 6, 2507, 111, 7, 14, 931, 3, 111, 821, 30, 137, 6, 249, 51, 24, 10, 768, 4341, 3, 1941, 7968, 9, 338, 1630, 768]"
1031,i feel assured the world around me seems brighter,5,"[1, 2, 572, 5, 183, 127, 17, 463, 2510]"
1032,i cant hide my feeling when i feel so glad,5,"[1, 130, 1278, 10, 7, 33, 1, 2, 14, 339]"
1033,i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,1,"[1, 2, 13, 52, 1, 92, 586, 8, 1, 20, 4, 681, 76, 1102, 1141, 192, 11, 240, 36, 9, 282, 7969]"
1034,i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,5,"[1, 23, 595, 4, 631, 36, 1, 2, 180, 6, 234, 1019, 9, 5, 7970, 7971, 5, 2154, 953, 11, 10, 415, 24, 17, 113, 57]"
1035,i feel confused too,4,"[1, 2, 438, 93]"
1036,i attempted to call my mom to talk to her but she answered the phone with suck fake regard for my feelings she had her jolly voice on and i just told her nevermind and she said okay i have a couple guests walking through the door so i have to go and feed them some pie,5,"[1, 7972, 4, 387, 10, 459, 4, 279, 4, 67, 18, 97, 2484, 5, 883, 24, 2054, 666, 3124, 15, 10, 114, 97, 56, 67, 1364, 949, 29, 3, 1, 31, 347, 67, 7973, 3, 97, 199, 1297, 1, 20, 6, 612, 2363, 868, 137, 5, 1016, 14, 1, 20, 4, 100, 3, 1727, 63, 68, 2575]"
1037,i feel for this little pound lovely is truly a gift,2,"[1, 2, 15, 22, 55, 2858, 402, 21, 394, 6, 1080]"
1038,i posted on here and i m feeling very neglectful,0,"[1, 1279, 29, 135, 3, 1, 92, 7, 45, 1270]"
1039,i woke up monday feeling like crap and blamed it on the weather,0,"[1, 408, 41, 1702, 7, 13, 1114, 3, 1212, 12, 29, 5, 980]"
1040,i zoom into those difficulties into feeling like having to give up everything and feeling more then helpless alone in a desert cast out by the ways voices and actions of others that is another story when i zoom into it i also temporarily loose the view of the full picture,0,"[1, 5546, 105, 142, 5547, 105, 7, 13, 149, 4, 219, 41, 176, 3, 7, 37, 124, 292, 200, 11, 6, 4342, 2143, 49, 44, 5, 575, 5548, 3, 1564, 9, 216, 8, 21, 264, 430, 33, 1, 5546, 105, 12, 1, 116, 3641, 2859, 5, 1220, 9, 5, 472, 939]"
1041,i didnt feel like anyone really hated me or noone new anyway and i managed to just not think about those who do,0,"[1, 138, 2, 13, 243, 40, 302, 17, 34, 5549, 184, 984, 3, 1, 950, 4, 31, 25, 69, 26, 142, 75, 38]"
1042,i have these random moments where i feel suddenly very creative and would love to sit down and hear the tick tick tick of the keyboard keys as my thoughts spilled out onto the screen,5,"[1, 20, 108, 1942, 809, 152, 1, 2, 701, 45, 457, 3, 64, 84, 4, 507, 141, 3, 376, 5, 4343, 4343, 4343, 9, 5, 4344, 3195, 28, 10, 397, 5550, 49, 1084, 5, 2853]"
1043,i feel nostalgic to travel away from my country my family and my friends not because i dont like them,2,"[1, 2, 664, 4, 1829, 161, 59, 10, 749, 10, 196, 3, 10, 172, 25, 36, 1, 87, 13, 63]"
1044,i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,4,"[1, 322, 108, 2860, 59, 2861, 7974, 3, 31, 356, 63, 7975, 17, 14, 85, 8, 1, 2, 5, 104, 4, 285, 63, 3, 367, 5, 183, 53, 6, 1581, 2179, 65, 19, 21]"
1045,i smoothly hand her a twenty feeling smug that they are both interested,5,"[1, 4345, 561, 67, 6, 2862, 7, 804, 8, 61, 43, 492, 1559]"
1046,i did see some things that i would never have done myself for the movie adaption but feel that if i did not read the book it would not have bothered me,1,"[1, 126, 112, 68, 88, 8, 1, 64, 144, 20, 273, 50, 15, 5, 783, 7976, 18, 2, 8, 48, 1, 126, 25, 215, 5, 329, 12, 64, 25, 20, 453, 17]"
1047,ive had to harden my heart to toughen my skin in order to truly protect myelf from feeling utterly devastated,0,"[72, 56, 4, 5551, 10, 228, 4, 7977, 10, 717, 11, 757, 4, 394, 2130, 7978, 59, 7, 881, 519]"
1048,i feel like its the perfect time to enlist some extra help,5,"[1, 2, 13, 78, 5, 355, 51, 4, 5552, 68, 1141, 139]"
1049,i somehow feel more vulnerable without it,4,"[1, 450, 2, 37, 469, 173, 12]"
1050,i don t know how i feel about today because part of me is convinced that i am making this so much more difficult than it actually is or as mehow casually remarks in the april infield insider getting out of the box you are in that was never there in the first place,5,"[1, 103, 42, 46, 52, 1, 2, 26, 121, 36, 229, 9, 17, 21, 491, 8, 1, 23, 204, 22, 14, 85, 37, 1142, 94, 12, 177, 21, 34, 28, 7979, 4346, 3196, 11, 5, 2563, 7980, 7981, 179, 49, 9, 5, 2015, 30, 43, 11, 8, 19, 144, 80, 11, 5, 194, 222]"
1051,i was feeling a bit casual and put on a plain tank top with loose bottoms i got from zara,5,"[1, 19, 7, 6, 82, 833, 3, 247, 29, 6, 2576, 5553, 936, 24, 2859, 4347, 1, 140, 59, 7982]"
1052,i think we i can get caught up in the nature of being busy of feeling the need to fill each moment with industry of some sort of occupying blank spaces with effort and chores,0,"[1, 69, 81, 1, 39, 54, 1366, 41, 11, 5, 1339, 9, 60, 1051, 9, 7, 5, 104, 4, 1399, 274, 235, 24, 1911, 9, 68, 343, 9, 7983, 617, 3642, 24, 966, 3, 7984]"
1053,i am feeling very fearful that things arent going to go the way i want them to with my ex,4,"[1, 23, 7, 45, 682, 8, 88, 1221, 86, 4, 100, 5, 90, 1, 66, 63, 4, 24, 10, 2055]"
1054,i honestly feel kind of embarrassed and a bit guilty,0,"[1, 603, 2, 167, 9, 466, 3, 6, 82, 377]"
1055,i said i wanted to give you a little sample of the writing i denied you then but i m feeling a little more generous today i suppose because i just have to share one little taste,5,"[1, 199, 1, 254, 4, 219, 30, 6, 55, 5554, 9, 5, 275, 1, 4348, 30, 124, 18, 1, 92, 7, 6, 55, 37, 341, 121, 1, 876, 36, 1, 31, 20, 4, 345, 70, 55, 1403]"
1056,i feel a bit rotten putting a post about teaching into the stones tag list for this blog its not really a grumble or groan subject for me to be honest,0,"[1, 2, 6, 82, 714, 821, 6, 285, 26, 1830, 105, 5, 7985, 4349, 733, 15, 22, 242, 78, 25, 40, 6, 5555, 34, 7986, 1277, 15, 17, 4, 27, 1076]"
1057,ive learned in this short journey thus far is i know when my body has had enough of sugar and fast food and junk even though those days are far and few between i start to feel lethargic,0,"[72, 767, 11, 22, 904, 1319, 1653, 351, 21, 1, 46, 33, 10, 278, 98, 56, 155, 9, 1799, 3, 1505, 518, 3, 2577, 74, 136, 142, 148, 43, 351, 3, 191, 480, 1, 212, 4, 2, 445]"
1058,i felt better on thursday and today friday felt good enough to come into work though i still feel kind of shitty and foggy,0,"[1, 143, 169, 29, 3643, 3, 121, 1216, 143, 101, 155, 4, 181, 105, 123, 136, 1, 71, 2, 167, 9, 468, 3, 2863]"
1059,i just feel disappointed for losing he said,0,"[1, 31, 2, 434, 15, 1082, 65, 199]"
1060,i need to get in touch with what i want and how i want to feel did i mention how much i hate people caring for me,2,"[1, 104, 4, 54, 11, 866, 24, 53, 1, 66, 3, 52, 1, 66, 4, 2, 126, 1, 1092, 52, 85, 1, 231, 62, 435, 15, 17]"
1061,i feel like a failure of a parent which add that to the emotional rollercoaster of having to have an unplanned c section and well some days i feel like i have just failed from the beginning,0,"[1, 2, 13, 6, 1515, 9, 6, 1565, 107, 911, 8, 4, 5, 384, 5556, 9, 149, 4, 20, 76, 7987, 1540, 2569, 3, 134, 68, 148, 1, 2, 13, 1, 20, 31, 3197, 59, 5, 806]"
1062,i feel rather intimidated by my re his impressive background and the clinic in general,4,"[1, 2, 202, 615, 44, 10, 371, 106, 3644, 2056, 3, 5, 2763, 11, 987]"
1063,i secretly well i guess not secretly anymore feel insecure about this but at the same time want them to learn how to come up with common ground by themselves,4,"[1, 2864, 134, 1, 251, 25, 2864, 416, 2, 510, 26, 22, 18, 32, 5, 223, 51, 66, 63, 4, 800, 52, 4, 181, 41, 24, 1729, 1115, 44, 944]"
1064,i need to feel assured i need to feel secure,5,"[1, 104, 4, 2, 572, 1, 104, 4, 2, 2138]"
1065,i could genuinely feel loving toward someone without them ever knowing it if i dont act like it,2,"[1, 91, 1316, 2, 346, 752, 147, 173, 63, 164, 489, 12, 48, 1, 87, 948, 13, 12]"
1066,i feel like the people that disliked it the most,0,"[1, 2, 13, 5, 62, 8, 3198, 12, 5, 133]"
1067,i can never seem to get on the good foot and i feel so crappy,0,"[1, 39, 144, 427, 4, 54, 29, 5, 101, 1543, 3, 1, 2, 14, 620]"
1068,i want something that gives me a major orgasm that will make me feel so horny ill screw anything that moves,2,"[1, 66, 83, 8, 1211, 17, 6, 2180, 5557, 8, 58, 79, 17, 2, 14, 737, 211, 3645, 165, 8, 4350]"
1069,i drove home i was aware of feeling not like myself and then she called to ask if i was ok,5,"[1, 1775, 166, 1, 19, 1203, 9, 7, 25, 13, 50, 3, 124, 97, 646, 4, 483, 48, 1, 19, 340]"
1070,i feel guilty for complaining about my life knowing that there are people out there who have it much worse than i do,0,"[1, 2, 377, 15, 1654, 26, 10, 77, 489, 8, 80, 43, 62, 49, 80, 75, 20, 12, 85, 930, 94, 1, 38]"
1071,id feel completely lost without him,0,"[248, 2, 284, 269, 173, 73]"
1072,im feeling discouraged i can look at that and remember i can achieve the goals i set for myself and i can always surprise myself with successes,0,"[16, 7, 513, 1, 39, 162, 32, 8, 3, 189, 1, 39, 1831, 5, 1730, 1, 608, 15, 50, 3, 1, 39, 111, 1943, 50, 24, 7988]"
1073,i tried to explain what my lyme and coinfections feel like i guess i could say it is a horrible painful nightmare that just won t end,0,"[1, 699, 4, 961, 53, 10, 7989, 3, 7990, 2, 13, 1, 251, 1, 91, 118, 12, 21, 6, 379, 1922, 4202, 8, 31, 862, 42, 227]"
1074,i cherish that feeling of babies asleep on my chest their amazingly sweet breath and the feeling they give me of i am needed,2,"[1, 3560, 8, 7, 9, 1499, 1383, 29, 10, 1059, 110, 2578, 234, 1135, 3, 5, 7, 61, 219, 17, 9, 1, 23, 500]"
1075,i can feel it weighing on me filling my thoughts as i try to do homework or help out at special olympics,5,"[1, 39, 2, 12, 3646, 29, 17, 5558, 10, 397, 28, 1, 203, 4, 38, 2057, 34, 139, 49, 32, 366, 7991]"
1076,i love the rainbow look that i have going on and think that it feels really festive i just hope the kids don t feel like it s suppose to be a constant party in our classroom thanks to the tissue paper balls,5,"[1, 84, 5, 5559, 162, 8, 1, 20, 86, 29, 3, 69, 8, 12, 122, 40, 642, 1, 31, 238, 5, 357, 103, 42, 2, 13, 12, 89, 876, 4, 27, 6, 1404, 951, 11, 132, 2181, 1170, 4, 5, 4351, 1103, 3199]"
1077,i feel incredibly idiotic but i was also embarrassed because it hadnt been their fault at all and i had yelled at one of the workers on the phone out of frustration about needing to call them a million times sending so many emails and still the problem was not solved,0,"[1, 2, 602, 1032, 18, 1, 19, 116, 466, 36, 12, 1516, 47, 110, 1199, 32, 35, 3, 1, 56, 4352, 32, 70, 9, 5, 1915, 29, 5, 883, 49, 9, 1832, 26, 1651, 4, 387, 63, 6, 2182, 195, 3200, 14, 159, 2860, 3, 71, 5, 1138, 19, 25, 4353]"
1078,i feel so uncomfortable about the word hero,4,"[1, 2, 14, 497, 26, 5, 750, 2865]"
1079,i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,5,"[1, 39, 38, 4, 8, 64, 394, 1006, 5, 2364, 1833, 3, 7992, 1, 2, 15, 109, 636, 7993, 3, 1, 23, 45, 734]"
1080,i feel energized and eager to write tomorrow,5,"[1, 2, 1703, 3, 722, 4, 224, 971]"
1081,i feel respected so his notions of feeling good or thinking good about someone become my notions of ensuring respect,5,"[1, 2, 559, 14, 106, 4354, 9, 7, 101, 34, 262, 101, 26, 147, 344, 10, 4354, 9, 7994, 1060]"
1082,i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,5,"[1, 2, 14, 836, 8, 1, 2866, 10, 7995, 1780, 36, 1, 19, 144, 157, 48, 1, 64, 3201, 25, 31, 1192, 18, 3201]"
1083,i feel honoured to wear this one,5,"[1, 2, 769, 4, 515, 22, 70]"
1084,i remember feeling very very violent and very disgusted the oscar winner tells access hollywood,1,"[1, 189, 7, 45, 45, 530, 3, 45, 697, 5, 4280, 7996, 1721, 3647, 4355]"
1085,i woke up on the sofa feeling extremely agitated around pm,4,"[1, 408, 41, 29, 5, 3648, 7, 375, 307, 127, 2183]"
1086,i honestly don t think it s possible for me to feel romantic love at this point,2,"[1, 603, 103, 42, 69, 12, 89, 888, 15, 17, 4, 2, 665, 84, 32, 22, 258]"
1087,i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics,5,"[1, 13, 1623, 1718, 3, 52, 5, 1834, 4356, 1122, 3157, 4, 5, 883, 89, 2365, 1, 116, 13, 8, 5, 7997, 2579, 40, 122, 13, 5, 883, 98, 5560, 7998, 21, 71, 491, 80, 2184, 42, 7999]"
1088,i like listening to hardcore sxe music its the one thing that lets me feel rebellious while not chocolating out or spending till its gone,1,"[1, 13, 983, 4, 2867, 8000, 557, 78, 5, 70, 188, 8, 1295, 17, 2, 738, 186, 25, 8001, 49, 34, 912, 1444, 78, 599]"
1089,i feel the time at hand my beloved signals his agreement,2,"[1, 2, 5, 51, 32, 561, 10, 391, 5561, 106, 4357]"
1090,i don t even feel particularly loyal to shell,2,"[1, 103, 42, 74, 2, 368, 753, 4, 2541]"
1091,i feel its casual and straight up,5,"[1, 2, 78, 833, 3, 1204, 41]"
1092,i feel ashamed that i so readily turn it aside,0,"[1, 2, 405, 8, 1, 14, 5562, 548, 12, 2058]"
1093,i guess they cant help but at least feel remorseful that she died so horribly and im pretty sure matt wasnt crying because he cared,0,"[1, 251, 61, 130, 139, 18, 32, 288, 2, 982, 8, 97, 1262, 14, 1716, 3, 16, 102, 157, 3532, 327, 943, 36, 65, 2366]"
1094,i feel so annoyed,1,"[1, 2, 14, 470]"
1095,i just feel like a smarter more well rounded person because of it,5,"[1, 31, 2, 13, 6, 3608, 37, 134, 5563, 170, 36, 9, 12]"
1096,i was bopping around the house yesterday singing to myself and possibly out loud just a bit i feel charming oh so charming,5,"[1, 19, 8002, 127, 5, 358, 674, 3202, 4, 50, 3, 873, 49, 2168, 31, 6, 82, 1, 2, 1247, 812, 14, 1247]"
1097,i am feeling very unsure of my future,4,"[1, 23, 7, 45, 440, 9, 10, 418]"
1098,i came across the exchange point feeling strong,5,"[1, 359, 895, 5, 4358, 258, 7, 326]"
1099,i really remember is feeling wonderful in the oatmeal bath,5,"[1, 40, 189, 21, 7, 352, 11, 5, 5564, 2549]"
1100,i got separated from the man i loved,0,"[1, 140, 3649, 59, 5, 373, 1, 265]"
1101,i feel todays schedule was an aching am to pm backed up by a mere hours of sleep one sandwich and tall espresso,0,"[1, 2, 3203, 2185, 19, 76, 514, 23, 4, 2183, 3650, 41, 44, 6, 3651, 412, 9, 323, 70, 2802, 3, 4359, 8003]"
1102,i could feel the delicate pressure of her fingers searching to feel my arm beneath the course fabric,2,"[1, 91, 2, 5, 815, 1015, 9, 67, 1418, 2562, 4, 2, 10, 1517, 2868, 5, 694, 2499]"
1103,ive clawed time back and i still feel strong,5,"[72, 8004, 51, 99, 3, 1, 71, 2, 326]"
1104,i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,5,"[1, 244, 42, 420, 5, 257, 1462, 31, 8005, 958, 34, 1065, 4360, 18, 1, 359, 166, 2, 1912, 44, 5, 439]"
1105,i love feeling brave,5,"[1, 84, 7, 474]"
1106,i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,5,"[1, 605, 41, 11, 5, 236, 3, 20, 10, 949, 3, 10, 1803, 122, 340, 18, 44, 5, 1190, 78, 35, 8006, 128, 3, 1, 1004, 13, 8007, 8008, 331, 5, 245, 33, 78, 14, 210, 3, 10, 1803, 21, 14, 1280, 1, 31, 20, 4, 3652]"
1107,im going to sleep now while i still feel triumphant,5,"[16, 86, 4, 323, 57, 186, 1, 71, 2, 813]"
1108,i have one of the guest rooms in our current house that was supposed to be my craft office closet but i honestly never use it since it is up stairs in a cold or hot room that i feel i can t get messy,0,"[1, 20, 70, 9, 5, 3162, 2869, 11, 132, 1222, 358, 8, 19, 721, 4, 27, 10, 2580, 1182, 2367, 18, 1, 603, 144, 296, 12, 225, 12, 21, 41, 2849, 11, 6, 308, 34, 395, 415, 8, 1, 2, 1, 39, 42, 54, 956]"
1109,i also have a niggling feeling that im getting complacent in my abilities,5,"[1, 116, 20, 6, 8009, 7, 8, 16, 179, 1047, 11, 10, 1944]"
1110,i feel at ease after sweet communing teach me it is far too little i know and do,2,"[1, 2, 32, 1431, 125, 234, 8010, 1906, 17, 12, 21, 351, 93, 55, 1, 46, 3, 38]"
1111,i feel combination slightly superior sitting in on virtual event you ll feel as if it s another day office,5,"[1, 2, 2291, 350, 629, 535, 11, 29, 4361, 1246, 30, 540, 2, 28, 48, 12, 89, 264, 96, 1182]"
1112,i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,4,"[1, 189, 7, 5, 133, 396, 1, 56, 164, 143, 11, 10, 1102, 77, 3, 8, 78, 71, 5565, 17, 57, 18, 72, 144, 193, 12, 8011, 4, 2870]"
1113,i put up my christmas tree and im feeling fairly festive,5,"[1, 247, 41, 10, 720, 1258, 3, 16, 7, 979, 642]"
1114,i feel numb the way a wound does before it really starts to hurt,0,"[1, 2, 606, 5, 90, 6, 2059, 261, 175, 12, 40, 1731, 4, 270]"
1115,i didnt want others negative energy weighing us down and influencing my feelings and thought process during this special time,5,"[1, 138, 66, 216, 1093, 455, 3646, 213, 141, 3, 5566, 10, 114, 3, 193, 1125, 386, 22, 366, 51]"
1116,i feel glad and proud myself i could answer some complicated questions that i can t ever been done before,5,"[1, 2, 339, 3, 403, 50, 1, 91, 1094, 68, 5567, 915, 8, 1, 39, 42, 164, 47, 273, 175]"
1117,im just feeling very uncertain and,4,"[16, 31, 7, 45, 502, 3]"
1118,i tell people it feels like i am trying to convince people i am innocent but no one believes me,5,"[1, 220, 62, 12, 122, 13, 1, 23, 190, 4, 1945, 62, 1, 23, 588, 18, 95, 70, 3653, 17]"
1119,i feel very very burdened by so many situations around me right now,0,"[1, 2, 45, 45, 520, 44, 14, 159, 1150, 127, 17, 113, 57]"
1120,im not sure i relish the feeling of squelching mud between my toes when its contents are uncertain,4,"[16, 25, 157, 1, 5568, 5, 7, 9, 8012, 3556, 480, 10, 2149, 33, 78, 8013, 43, 502]"
1121,i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,5,"[1, 38, 25, 111, 163, 50, 7, 333, 18, 115, 5, 214, 1, 289, 5569, 6, 191, 5570, 8, 1086, 17, 4, 2, 734, 11, 5, 301, 9, 809, 33, 5, 178, 188, 1, 66, 4, 38, 21, 118, 1170]"
1122,im constantly feeling alone,0,"[16, 794, 7, 200]"
1123,im taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay,5,"[16, 328, 2581, 9, 7, 763, 5571, 12, 1946, 161, 128, 4362, 56, 67, 462, 5, 119, 96, 2582]"
1124,i still feel ashamed that i live in a world of people who dont know how,0,"[1, 71, 2, 405, 8, 1, 330, 11, 6, 183, 9, 62, 75, 87, 46, 52]"
1125,i don t want you to feel pressured into making love,4,"[1, 103, 42, 66, 30, 4, 2, 581, 105, 204, 84]"
1126,i feel like im actually supporting myself by making use of what i know and love,5,"[1, 2, 13, 16, 177, 332, 50, 44, 204, 296, 9, 53, 1, 46, 3, 84]"
1127,i ask her what shed like to do and she just says she doesnt mind so i am always making suggestions and just feel like im having to try every day to keep her entertained,5,"[1, 483, 67, 53, 2312, 13, 4, 38, 3, 97, 31, 1026, 97, 433, 314, 14, 1, 23, 111, 204, 2503, 3, 31, 2, 13, 16, 149, 4, 203, 146, 96, 4, 208, 67, 1161]"
1128,i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch,4,"[1, 13, 7, 1002, 3, 562, 26, 255, 127, 17, 2019, 10, 1336, 912, 90, 93, 85, 51, 29, 286, 5572, 397, 2871, 105, 8014, 3, 2060, 1248, 3, 124, 7, 4363, 377, 15, 2061, 13, 180, 6, 1257]"
1129,i honestly believe those darker days are the reason i push so hard to be someone of worth in my future i feel it is my duty to make up for all the time i lost,0,"[1, 603, 316, 142, 8015, 148, 43, 5, 325, 1, 1073, 14, 249, 4, 27, 147, 9, 858, 11, 10, 418, 1, 2, 12, 21, 10, 1947, 4, 79, 41, 15, 35, 5, 51, 1, 269]"
1130,i still want to be a lady who likes ladies who does not feel inhibited to kiss another woman in public but i guess i will just have to disregard societal views that pertain to my sexual preferences and how i portray them,0,"[1, 71, 66, 4, 27, 6, 1518, 75, 2021, 2165, 75, 261, 25, 2, 1066, 4, 1171, 264, 441, 11, 1237, 18, 1, 251, 1, 58, 31, 20, 4, 5573, 8016, 1701, 8, 8017, 4, 10, 1483, 8018, 3, 52, 1, 3585, 63]"
1131,i done something that i didn t feel inspired or challenged by,5,"[1, 273, 83, 8, 1, 244, 42, 2, 458, 34, 2872, 44]"
1132,i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists,5,"[1, 2, 8, 255, 98, 5, 1074, 4, 27, 763, 11, 106, 34, 67, 174, 366, 90, 3, 163, 8, 5, 133, 4332, 810, 21, 8019, 8020, 4364, 2023]"
1133,i think the energy in our jobs and in our writing should not always be spent on what we think will sell but rather on our pet projects we truly feel invigorated about,5,"[1, 69, 5, 455, 11, 132, 2150, 3, 11, 132, 275, 120, 25, 111, 27, 436, 29, 53, 81, 69, 58, 2186, 18, 202, 29, 132, 4365, 1261, 81, 394, 2, 771, 26]"
1134,im even starting to feel more sociable,5,"[16, 74, 315, 4, 2, 37, 1200]"
1135,i actually feel quite scared to get back to exercising because i feel like ive lost so much strength and condition and put on so much weight,4,"[1, 177, 2, 156, 372, 4, 54, 99, 4, 4366, 36, 1, 2, 13, 72, 269, 14, 85, 1061, 3, 3204, 3, 247, 29, 14, 85, 656]"
1136,i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,5,"[1, 163, 12, 249, 4, 2, 1364, 33, 8021, 9, 62, 127, 17, 43, 14, 269, 11, 5, 8022, 9, 179, 393, 8, 61, 130, 112, 110, 228, 15, 5, 1732, 11, 110, 3654, 5574, 44, 5, 1404, 5391, 3, 1015, 59, 146, 4367, 4, 1514, 135, 3, 736, 37]"
1137,i think he feels pretty cute in this,5,"[1, 69, 65, 122, 102, 471, 11, 22]"
1138,i wanted to go and ask him about my batting but was feeling hesitant about approaching such a big player,4,"[1, 254, 4, 100, 3, 483, 73, 26, 10, 8023, 18, 19, 7, 649, 26, 5575, 180, 6, 383, 1910]"
1139,i got a bit caught up in the moment and forgot that at the core of the rude comments and silly songs were the real feelings of a beloved and brilliant comic actor and a very sweet and big hearted young woman,5,"[1, 140, 6, 82, 1366, 41, 11, 5, 235, 3, 1948, 8, 32, 5, 1582, 9, 5, 567, 885, 3, 1205, 1052, 129, 5, 313, 114, 9, 6, 391, 3, 3655, 5576, 4368, 3, 6, 45, 234, 3, 383, 5577, 747, 441]"
1140,ive been feeling a bit overwhelmed with the whole marathon idea lately,4,"[72, 47, 7, 6, 82, 237, 24, 5, 257, 2062, 485, 318]"
1141,i know i would feel weird about that and probably act strangely for a few days,3,"[1, 46, 1, 64, 2, 246, 26, 8, 3, 337, 948, 1835, 15, 6, 191, 148]"
1142,i feel like an impostor in my work as i smile and talk about behavior contracts positive reinforcement cognitive reframing physical activity and other means for diminishing dissolving or deferring the pain of reality,5,"[1, 2, 13, 76, 5578, 11, 10, 123, 28, 1, 760, 3, 279, 26, 1819, 8024, 381, 8025, 5579, 8026, 1067, 2739, 3, 119, 835, 15, 8027, 5580, 34, 8028, 5, 260, 9, 1281]"
1143,i feel suspicious if there is no one outside like the rapture has happened or something,4,"[1, 2, 1002, 48, 80, 21, 95, 70, 684, 13, 5, 5581, 98, 551, 34, 83]"
1144,i feel so deeply shocked and saddened,3,"[1, 2, 14, 837, 669, 3, 2873]"
1145,i did manage two short runs and a walk but today im back to feeling just shy of awful,4,"[1, 126, 1615, 218, 904, 1946, 3, 6, 420, 18, 121, 16, 99, 4, 7, 31, 616, 9, 486]"
1146,im told by horsey people that they are a rare find so i feel quite lucky,5,"[16, 347, 44, 8029, 62, 8, 61, 43, 6, 1949, 163, 14, 1, 2, 156, 431]"
